Iteration,Category,AUC,AUC Img,AUC Maha,AUC Comp
10000,breakfast_box,83.95831692784208,81.89444050712655,80.02788933511825,68.58939024070136
20000,breakfast_box,86.17679869806022,83.63539123815525,80.9409533559073,72.00914770191879
30000,breakfast_box,86.318082788671,83.52206210462766,82.1905268131349,73.87911121610627
40000,breakfast_box,87.67363571934798,85.54164369897892,82.5276924692233,73.98771556815498
50000,breakfast_box,86.40043835472608,84.5690605559493,82.2661233167966,72.03132792608342
60000,breakfast_box,86.48233456702627,83.18948998608813,82.41095099351654,74.21877050686405
69999,breakfast_box,86.04883586634118,84.9070136756175,82.1103367719243,73.78133448827991
