Iteration,Category,AUC,AUC Img,AUC Maha,AUC Comp
10000,screw_bag,84.48372475827188,74.28036084836138,83.26231551175151,61.89133835516888
20000,screw_bag,88.43484504008616,72.56611953758643,82.4837948032466,77.41782848904234
30000,screw_bag,88.1721763849205,72.17193414604961,82.83004316521566,75.37375560724615
40000,screw_bag,90.18429124700485,69.90203918432626,83.36771130963673,81.75769838050182
50000,screw_bag,93.06211821840607,71.9990106147322,83.3890896196266,89.03248919410338
60000,screw_bag,90.41263056821067,68.33164544401218,83.40021655571348,81.99928057973891
69999,screw_bag,91.03931420132677,70.2064064884995,83.29941745929365,83.67685772406365
