Iteration,Category,AUC,AUC Img,AUC Maha,AUC Comp
99,pushpins,87.89876700504719,61.24712199591427,89.65201465201466,57.562318250724054
10000,pushpins,90.6629289479531,74.86806895019456,91.80877272664712,62.921771375877654
20000,pushpins,90.44758247656797,79.59635193934712,91.46709883424859,61.97146474924252
30000,pushpins,92.31408241070078,86.15938096614425,91.48764547315272,67.6147613345681
40000,pushpins,91.51482798825793,86.13642574995232,91.50067145236227,66.83590608711383
50000,pushpins,92.42767878033578,91.06870048899034,91.2589780947269,63.66248262383528
60000,pushpins,93.88555620439678,93.8866867610829,90.9644926553139,65.46955459998938
69999,pushpins,94.86383182035357,94.89588064467291,91.07386172603564,79.14068844020535
