Iteration,Category,AUC,AUC Img,AUC Maha,AUC Comp
10000,splicing_connectors,95.11039710001647,87.63428900972154,86.43648962853115,76.42600831182145
20000,splicing_connectors,94.35761886453929,87.49162410062064,86.37959759067024,75.15204774720345
30000,splicing_connectors,95.73076289339265,95.62315775983596,86.26169422017173,78.49293312096081
40000,splicing_connectors,96.15820838139177,96.24553743065853,86.69884293586716,76.76516358177258
50000,splicing_connectors,96.18054411307007,95.83553029054758,87.1715548964684,83.81185807656395
60000,splicing_connectors,96.23638344226579,96.24631551967192,87.1461983486205,82.53016239175409
69999,splicing_connectors,95.95379982058184,96.80054374691053,87.2203456546017,85.72449241134363
