Iteration,Category,AUC,AUC Img,AUC Maha,AUC Comp
10000,juice_bottle,99.40305026173337,95.30107307493672,97.98439801324925,79.67565465222299
20000,juice_bottle,99.82466095805253,95.73702969286977,97.85432832395003,80.25220130197208
30000,juice_bottle,99.79836010176042,96.42810461683638,97.77144077684758,81.69014084507043
40000,juice_bottle,99.73794783185306,97.03151001982924,97.6282206594023,79.07009736098803
50000,juice_bottle,99.63258500755552,97.63148834154771,97.34727969446375,77.67280459579568
60000,juice_bottle,99.41628038944395,97.7777370424448,97.28519373370143,83.11995103258755
69999,juice_bottle,99.49486416006224,97.90525634567932,97.2380912910692,83.06081395571255
